VertWeld 1 	1 [sec] 	-44.511720140792633 [N] 	0 [N] 	-58.551727934497059 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6530 [mm] 	-3.2221138107760066E-11 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 4 	3 [sec] 	-311446.35751838924 [N] 	0 [N] 	-57717.790342717366 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4321.2500000000246 [mm] 	4799.9999999999791 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 4 	4 [sec] 	-297182.60912578006 [N] 	0 [N] 	-53628.788804956661 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4321.2500000000246 [mm] 	4799.9999999999791 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 5 	1 [sec] 	1518.3605363341367 [N] 	0 [N] 	2680.9261831069257 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4321.2499999999773 [mm] 	4800.0000000000218 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 5 	2 [sec] 	-375174.96745821636 [N] 	0 [N] 	9277.36403529961 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4321.2499999999773 [mm] 	4800.0000000000218 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 5 	3 [sec] 	-376013.35031553806 [N] 	0 [N] 	20865.316551314278 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4321.2499999999773 [mm] 	4800.0000000000218 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 5 	4 [sec] 	-341553.44532682374 [N] 	0 [N] 	-110878.21065571529 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4321.2499999999773 [mm] 	4800.0000000000218 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 6 	1 [sec] 	-413.04179605532113 [N] 	0 [N] 	151.5110129488927 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5659.9999999999836 [mm] 	3200.0000000000282 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 6 	2 [sec] 	-19300.811913365978 [N] 	0 [N] 	-11357.213332475383 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5659.9999999999836 [mm] 	3200.0000000000282 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 6 	3 [sec] 	-24485.982626078505 [N] 	0 [N] 	-7066.8891260099108 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5659.9999999999836 [mm] 	3200.0000000000282 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 6 	4 [sec] 	30123.523811439023 [N] 	0 [N] 	-100439.33380652915 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5659.9999999999836 [mm] 	3200.0000000000282 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 7 	1 [sec] 	217.8187715560025 [N] 	0 [N] 	648.9172739166595 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6324.1100999999926 [mm] 	1600.0000000000314 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 7 	2 [sec] 	-226081.74961450879 [N] 	0 [N] 	22505.454186404058 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6324.1100999999926 [mm] 	1600.0000000000314 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 7 	3 [sec] 	-227437.13946041733 [N] 	0 [N] 	33697.318656207106 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6324.1100999999926 [mm] 	1600.0000000000314 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 7 	4 [sec] 	-201722.93362541636 [N] 	0 [N] 	-74063.464041052124 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6324.1100999999926 [mm] 	1600.0000000000314 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 8 	1 [sec] 	73.69526343430104 [N] 	0 [N] 	-143.954832921851 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6530 [mm] 	3.2221138107760066E-11 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 8 	2 [sec] 	-26042.994361167879 [N] 	0 [N] 	-8934.2564584764878 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6530 [mm] 	3.2221138107760066E-11 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 8 	3 [sec] 	-48097.9373171909 [N] 	0 [N] 	9421.3516157653467 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6530 [mm] 	3.2221138107760066E-11 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 8 	4 [sec] 	17334.903986426336 [N] 	0 [N] 	-89368.424886913141 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6530 [mm] 	3.2221138107760066E-11 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 9 	1 [sec] 	-83.459069399743782 [N] 	0 [N] 	25.897043638846977 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6324.1101000000081 [mm] 	-1599.9999999999688 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 9 	2 [sec] 	-23785.934570708745 [N] 	0 [N] 	-15055.225322443841 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6324.1101000000081 [mm] 	-1599.9999999999688 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 9 	3 [sec] 	-34788.697898084632 [N] 	0 [N] 	1306.2190655974114 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6324.1101000000081 [mm] 	-1599.9999999999688 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 9 	4 [sec] 	35301.848954995687 [N] 	0 [N] 	-110367.87363029279 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-6324.1101000000081 [mm] 	-1599.9999999999688 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 10 	1 [sec] 	74.401402700156382 [N] 	0 [N] 	-27.878664267024156 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5660.0000000000164 [mm] 	-3199.9999999999723 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 10 	2 [sec] 	-66558.470052788078 [N] 	0 [N] 	18401.001251469206 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5660.0000000000164 [mm] 	-3199.9999999999723 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 10 	3 [sec] 	-88831.4723217052 [N] 	0 [N] 	32576.920558950427 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5660.0000000000164 [mm] 	-3199.9999999999723 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 10 	4 [sec] 	-38006.24944556746 [N] 	0 [N] 	-30670.804473383643 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-5660.0000000000164 [mm] 	-3199.9999999999723 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 11 	1 [sec] 	237.79198458337635 [N] 	0 [N] 	-102.70642349756196 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4321.2500000000246 [mm] 	-4799.9999999999791 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 11 	2 [sec] 	-265086.46136728983 [N] 	0 [N] 	79643.037862500336 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4321.2500000000246 [mm] 	-4799.9999999999791 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 11 	3 [sec] 	-269913.14083781955 [N] 	0 [N] 	87544.974559200782 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4321.2500000000246 [mm] 	-4799.9999999999791 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 11 	4 [sec] 	-184334.5161881469 [N] 	0 [N] 	-9929.2905166598521 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	-4321.2500000000246 [mm] 	-4799.9999999999791 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 12 	1 [sec] 	-213.30822972481516 [N] 	0 [N] 	20.763448629176651 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4321.2499999999773 [mm] 	-4800.0000000000218 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 12 	2 [sec] 	-381829.54488536582 [N] 	0 [N] 	-81639.0421247044 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4321.2499999999773 [mm] 	-4800.0000000000218 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 12 	3 [sec] 	-379353.73531560955 [N] 	0 [N] 	-79090.109288483931 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4321.2499999999773 [mm] 	-4800.0000000000218 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 12 	4 [sec] 	-403189.21134765365 [N] 	0 [N] 	-88785.199627906375 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	4321.2499999999773 [mm] 	-4800.0000000000218 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 13 	1 [sec] 	267.6342377807693 [N] 	0 [N] 	127.12764050429038 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5659.9999999999836 [mm] 	-3200.0000000000282 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 13 	2 [sec] 	-127386.96899402972 [N] 	0 [N] 	-28323.824564985625 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5659.9999999999836 [mm] 	-3200.0000000000282 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 13 	3 [sec] 	-123004.66267030621 [N] 	0 [N] 	-25546.576500876472 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5659.9999999999836 [mm] 	-3200.0000000000282 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 13 	4 [sec] 	-148430.073961995 [N] 	0 [N] 	-38541.64042189411 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	5659.9999999999836 [mm] 	-3200.0000000000282 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 14 	1 [sec] 	-107.20931932932619 [N] 	0 [N] 	52.378766802018795 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6324.1100999999926 [mm] 	-1600.0000000000314 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 14 	2 [sec] 	-164209.01546710523 [N] 	0 [N] 	-6605.9214004181167 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6324.1100999999926 [mm] 	-1600.0000000000314 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 14 	3 [sec] 	-163500.12775611511 [N] 	0 [N] 	-4916.073452145426 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6324.1100999999926 [mm] 	-1600.0000000000314 [mm] 	280.15999999999104 [mm] 	Load coordinate system
VertWeld 14 	4 [sec] 	-174848.98668679511 [N] 	0 [N] 	-10904.502667899105 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	6324.1100999999926 [mm] 	-1600.0000000000314 [mm] 	280.15999999999104 [mm] 	Load coordinate system
TbLug 1 	1 [sec] 	-22474.20994758606 [N] 	-23639.436676025391 [N] 	73894.346923828125 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 1 	2 [sec] 	0.000194549560546875 [N] 	0.00020599365234375 [N] 	-0.0008087158203125 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 1 	3 [sec] 	-0.0002593994140625 [N] 	0.00090789794921875 [N] 	-0.000186920166015625 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 1 	4 [sec] 	0.0001430511474609375 [N] 	0.00020599365234375 [N] 	-0.00082516670227050781 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 2 	1 [sec] 	4849.27898979187 [N] 	-30636.847381591797 [N] 	64057.597122192383 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 2 	2 [sec] 	4039.3984222412109 [N] 	-22537.583038330078 [N] 	47303.9152469635 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 2 	3 [sec] 	1997.7690753936768 [N] 	-11091.158134460449 [N] 	23285.805032730103 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 2 	4 [sec] 	6127.3707370758057 [N] 	-34327.458740234375 [N] 	72044.22282409668 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 3 	1 [sec] 	18591.558013916016 [N] 	-21389.958557128906 [N] 	58511.979827880859 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 3 	2 [sec] 	160910.43078613281 [N] 	-180949.1396484375 [N] 	495937.44091796875 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 3 	3 [sec] 	153578.80346679688 [N] 	-172640.42114257813 [N] 	473173.51049804688 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 3 	4 [sec] 	165200.53350830078 [N] 	-185912.79284667969 [N] 	509428.88330078125 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 4 	1 [sec] 	30410.251724243164 [N] 	-9295.87427520752 [N] 	65675.3311829567 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 4 	2 [sec] 	330335.72265625 [N] 	-98714.818603515625 [N] 	703983.62890625 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 4 	3 [sec] 	323786.28735351563 [N] 	-96790.015625 [N] 	689930.21484375 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 4 	4 [sec] 	333076.6484375 [N] 	-99201.153259277344 [N] 	709740.892578125 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 5 	1 [sec] 	26177.694137573242 [N] 	21194.5265045166 [N] 	69554.4730834961 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 5 	2 [sec] 	240656.1328125 [N] 	191669.7958984375 [N] 	629037.69873046875 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 5 	3 [sec] 	235857.23950195313 [N] 	187804.67065429688 [N] 	616311.1513671875 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 5 	4 [sec] 	246469.55004882813 [N] 	196385.05151367188 [N] 	644367.2724609375 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 6 	1 [sec] 	9247.5614700317383 [N] 	26864.558029174805 [N] 	58659.781742095947 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 6 	2 [sec] 	48646.253662109375 [N] 	134834.6591796875 [N] 	294520.06311035156 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 6 	3 [sec] 	44387.272583007813 [N] 	122904.86022949219 [N] 	268455.57147216797 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 6 	4 [sec] 	52937.396667480469 [N] 	146898.40234375 [N] 	320838.83056640625 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 7 	1 [sec] 	-6866.5636405944824 [N] 	29729.339721679688 [N] 	63017.611434936523 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 7 	2 [sec] 	1.811981201171875E-05 [N] 	4.57763671875E-05 [N] 	0.00035858154296875 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 7 	3 [sec] 	4.2438507080078125E-05 [N] 	-3.814697265625E-05 [N] 	-0.000980377197265625 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 7 	4 [sec] 	-0.0024366378784179688 [N] 	0.011336326599121094 [N] 	-0.0058164596557617188 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 8 	1 [sec] 	-28027.130432128906 [N] 	12340.712890625 [N] 	69452.1644744873 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 8 	2 [sec] 	0.00059080123901367188 [N] 	0.00066661834716796875 [N] 	-0.0004291534423828125 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 8 	3 [sec] 	0.0012760162353515625 [N] 	-0.00023221969604492188 [N] 	0.0034084320068359375 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 8 	4 [sec] 	-0.001445770263671875 [N] 	0.001087188720703125 [N] 	-0.0009307861328125 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 9 	1 [sec] 	-25794.004119873047 [N] 	-5014.5257568359375 [N] 	54258.236743927 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 9 	2 [sec] 	-0.0019989013671875 [N] 	-0.00038194656372070313 [N] 	0.0006160736083984375 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 9 	3 [sec] 	-3.814697265625E-05 [N] 	-2.6226043701171875E-05 [N] 	0.000110626220703125 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |
TbLug 9 	4 [sec] 	-0.00089263916015625 [N] 	-0.000156402587890625 [N] 	0.00021076202392578125 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	|	|	|	 |Stopper 1 	1 [sec] 	0.13409911595226731 [N] 	-0.99819955759448931 [N] 	-0.0010353384595873649 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	845.489025115967 [mm] 	-6212.53538131714 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 1 	2 [sec] 	6.0644715909729712 [N] 	-44.844141998211853 [N] 	-0.051099063904985087 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	845.489025115967 [mm] 	-6212.53538131714 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 1 	3 [sec] 	-0.0057933805356924495 [N] 	0.042340708824895046 [N] 	6.12738865868323E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	845.489025115967 [mm] 	-6212.53538131714 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 1 	4 [sec] 	-0.088719696970656514 [N] 	0.63846066209953278 [N] 	2.8965747333131731E-05 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	845.489025115967 [mm] 	-6212.53538131714 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 2 	1 [sec] 	0.2850849378737621 [N] 	-1.1263193486665841 [N] 	-0.00024242989502454293 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1561.00350618362 [mm] 	-6072.3729133606 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 2 	2 [sec] 	11364.56982421875 [N] 	-44553.50244140625 [N] 	-26.586366176605225 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1561.00350618362 [mm] 	-6072.3729133606 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 2 	3 [sec] 	11259.472778320313 [N] 	-44136.38623046875 [N] 	-31.430078983306885 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1561.00350618362 [mm] 	-6072.3729133606 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 2 	4 [sec] 	7156.3818969726563 [N] 	-27999.37939453125 [N] 	-13.816267967224121 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	1561.00350618362 [mm] 	-6072.3729133606 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 3 	1 [sec] 	0.052084594863117673 [N] 	-0.13595970686583314 [N] 	-0.0001623051807655429 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2255.40804862976 [mm] 	-5850.09241104126 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 3 	2 [sec] 	28309.287902832031 [N] 	-73898.662109375 [N] 	-190.45677185058594 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2255.40804862976 [mm] 	-5850.09241104126 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 3 	3 [sec] 	28562.610778808594 [N] 	-74559.953125 [N] 	-218.86251831054688 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2255.40804862976 [mm] 	-5850.09241104126 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 3 	4 [sec] 	25515.554931640625 [N] 	-66599.345703125 [N] 	-144.94245910644531 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2255.40804862976 [mm] 	-5850.09241104126 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 4 	1 [sec] 	-0.083057784398988588 [N] 	0.160200255435484 [N] 	0.000209316135624249 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2919.31200027466 [mm] 	-5548.69914054871 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 4 	2 [sec] 	50203.635131835938 [N] 	-95922.3271484375 [N] 	-334.85211181640625 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2919.31200027466 [mm] 	-5548.69914054871 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 4 	3 [sec] 	50770.742797851563 [N] 	-97007.267578125 [N] 	-376.78595733642578 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2919.31200027466 [mm] 	-5548.69914054871 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 4 	4 [sec] 	47172.186279296875 [N] 	-90129.890625 [N] 	-274.74712371826172 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	2919.31200027466 [mm] 	-5548.69914054871 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 5 	1 [sec] 	-0.20020632131854654 [N] 	0.2953863293246286 [N] 	0.00039708234885438287 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3543.73729228973 [mm] 	-5172.26958274841 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 5 	2 [sec] 	78202.1015625 [N] 	-114661.162109375 [N] 	-500.56151008605957 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3543.73729228973 [mm] 	-5172.26958274841 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 5 	3 [sec] 	78845.7490234375 [N] 	-115606.673828125 [N] 	-547.10914993286133 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3543.73729228973 [mm] 	-5172.26958274841 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
Stopper 5 	4 [sec] 	74804.29052734375 [N] 	-109679.73046875 [N] 	-438.17660522460938 [N] 	0.0[N mm] 	0.0[N mm] 	0.0[N mm] 	3543.73729228973 [mm] 	-5172.26958274841 [mm] 	2825.15907287598 [mm] 	Global Coordinate System
